Id,Type,Name,,,,
1,Upper Body,Bench press,,,,
2,Upper Body,Seated military press,,,,
3,Upper Body,Tricep extensions,,,,
4,Upper Body,Lat pull downs,,,,
5,Upper Body,Dumbell bench press,,,,
6,Lower Body,Squats,,,,
7,Lower Body,Leg press,,,,
8,Lower Body,Leg extensions,,,,
9,Lower Body,Walking lunges,,,,
10,Lower Body,Calf raises,,,,
11,Core Body,Declined situps,,,,
12,Core Body,Crunches,,,,
13,Core Body,Leg lifts,,,,
14,Core Body,Plank,,,,
15,Core Body,Hanging knee lifts,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,